@RELATION twitter

@ATTRIBUTE tweetID	 NUMERIC
@ATTRIBUTE userID	 NUMERIC
@ATTRIBUTE followers	 NUMERIC
@ATTRIBUTE following	 NUMERIC
@ATTRIBUTE timestamp	 DATE "EEE MMM dd HH:mm:ss zzzz yyyy"
@ATTRIBUTE userReference	 NUMERIC
@ATTRIBUTE links	 NUMERIC
@ATTRIBUTE positiveWords	 NUMERIC
@ATTRIBUTE negativeWords	 NUMERIC
@ATTRIBUTE denials	 NUMERIC
@ATTRIBUTE exclamationMarks	 NUMERIC
@ATTRIBUTE questionMarks	 NUMERIC
@ATTRIBUTE quotationMarks	 NUMERIC
@ATTRIBUTE retweets	 NUMERIC
@ATTRIBUTE uperCaseLetters	 NUMERIC
@ATTRIBUTE lowerCaseLettrers	 NUMERIC
@ATTRIBUTE positiveEmoticons	 NUMERIC
@ATTRIBUTE negativeEmoticons	 NUMERIC
@ATTRIBUTE class	 {-1, 0, 1}

@DATA
204087696887513088,375533712,123,92,"Sun May 20 08:54:33 EEST 2012",3,1,1,0,1,0,0,0,1,8,49,0,0,0
203982857373351936,119290499,1937,1800,"Sun May 20 01:57:57 EEST 2012",0,0,0,0,1,0,0,0,0,3,79,0,0,-1
202578176570957825,195481492,244,78,"Wed May 16 04:56:15 EEST 2012",0,0,0,1,1,1,0,0,0,1,24,0,0,-1
205858218763747328,88586282,156,330,"Fri May 25 06:09:58 EEST 2012",2,0,0,0,0,2,0,0,0,1,34,0,0,1
206843276546940928,180026716,4062,48194,"Sun May 27 23:24:14 EEST 2012",0,0,0,1,0,0,0,0,25,2,30,0,0,-1
205824723383365633,29277393,60,37,"Fri May 25 03:56:52 EEST 2012",1,0,0,1,0,0,0,0,0,3,44,0,0,-1
206630335679709184,23043280,236,71,"Sun May 27 09:18:05 EEST 2012",0,1,0,0,0,0,0,0,0,2,17,0,0,0
205057849179635714,380160106,629,783,"Wed May 23 01:09:35 EEST 2012",1,0,2,1,0,0,0,0,991,12,61,0,0,0
207015787930726401,44733150,672,4560,"Mon May 28 10:49:44 EEST 2012",1,0,0,1,0,0,0,0,0,3,44,0,0,1
204207429091737601,182725624,79,11,"Sun May 20 16:50:19 EEST 2012",1,0,0,0,1,0,1,1,1949,7,80,0,0,0
202552449498746880,24608909,2281,18158,"Wed May 16 03:14:01 EEST 2012",2,0,0,0,0,0,0,0,3,9,69,0,0,0
206645569534443520,32616758,226,104,"Sun May 27 10:18:37 EEST 2012",0,0,0,0,0,0,0,0,0,0,30,0,0,0
206553709893787648,34948696,135,189,"Sun May 27 04:13:36 EEST 2012",0,0,0,0,0,0,0,0,0,1,20,0,0,1
205441050117017600,403700245,430,643,"Thu May 24 02:32:17 EEST 2012",0,0,0,1,0,4,0,0,1,8,19,0,0,-1
202733020992638977,35787166,1993,15207270,"Wed May 16 15:11:33 EEST 2012",0,0,0,0,0,24,0,0,1315,4,71,0,0,1
204330885695275009,458590241,740,901957,"Mon May 21 01:00:54 EEST 2012",0,0,0,1,0,0,0,0,984,2,20,0,0,0
206969654944595968,185135477,1419,668,"Mon May 28 07:46:25 EEST 2012",0,0,0,0,0,0,0,0,0,1,72,0,0,0
204268376405704705,210411706,2940,5522,"Sun May 20 20:52:30 EEST 2012",0,0,1,0,0,0,0,0,0,1,82,0,0,-1
205374003345494017,557343986,31,25,"Wed May 23 22:05:52 EEST 2012",0,0,0,0,0,0,0,0,0,2,38,0,0,0
205904264101502976,451827446,217,249,"Fri May 25 09:12:56 EEST 2012",0,0,0,0,0,0,0,0,0,1,31,0,0,0
206960498623774720,25085801,1142,1900,"Mon May 28 07:10:02 EEST 2012",0,0,0,0,0,0,1,0,0,6,11,0,0,0
205039281096507392,517863237,573,353,"Tue May 22 23:55:48 EEST 2012",0,0,0,0,0,0,0,0,0,1,32,0,0,-1
202548426636922880,538589533,68,37,"Wed May 16 02:58:02 EEST 2012",0,0,0,0,0,0,0,1,0,5,34,0,0,0
206553537856020480,569639035,420,122,"Sun May 27 04:12:55 EEST 2012",0,0,0,0,2,0,0,1,0,2,69,0,0,0
206884082829897728,54749413,405,312,"Mon May 28 02:06:23 EEST 2012",0,0,0,0,0,0,0,0,0,7,18,0,0,1
205854322607661056,588805195,296,219,"Fri May 25 05:54:29 EEST 2012",1,0,0,0,2,0,0,1,1,6,78,0,0,-1
205450327107977216,27570460,47,149,"Thu May 24 03:09:09 EEST 2012",0,0,0,0,0,0,0,0,0,1,8,0,0,0
206886703619784705,35727881,425,577187,"Mon May 28 02:16:48 EEST 2012",0,0,0,0,0,0,0,0,247,1,28,0,0,0
205403963149914112,195608323,2741,11599,"Thu May 24 00:04:55 EEST 2012",0,0,0,1,0,1,0,0,1,2,32,0,0,0
202662545163698176,52337561,482,311,"Wed May 16 10:31:30 EEST 2012",0,1,0,0,0,0,0,0,0,4,33,0,0,0
204131436423421952,98114269,162,1752,"Sun May 20 11:48:21 EEST 2012",0,1,0,0,0,0,0,0,0,12,48,0,0,0
205843526460772352,432304945,245,340,"Fri May 25 05:11:35 EEST 2012",1,0,0,0,0,2,0,1,1,6,40,0,0,1
206985895340015617,65084229,651,577,"Mon May 28 08:50:57 EEST 2012",0,0,0,0,0,0,0,0,0,0,14,0,0,0
206526614887079936,238383345,766,811,"Sun May 27 02:25:56 EEST 2012",0,0,0,2,0,0,0,0,11,2,27,0,0,-1
205847984909455360,355223452,673,378,"Fri May 25 05:29:18 EEST 2012",0,0,0,0,0,0,0,0,0,0,23,0,0,-1
204318057739460609,223917113,102,281,"Mon May 21 00:09:55 EEST 2012",0,0,0,0,1,0,0,0,0,8,25,0,0,-1
